route_id,service_id,trip_id,trip_headsign,block_id
118-125,JAN12-JANSA12-Saturday-12,20061473-JAN12-JANSA12-Saturday-12,"Hurdman",2568246
118-125,JAN12-JANSA12-Saturday-12,20061474-JAN12-JANSA12-Saturday-12,"Hurdman",2568041
118-125,JAN12-JANSA12-Saturday-12,20061475-JAN12-JANSA12-Saturday-12,"Kanata",2568194
118-125,JAN12-JANSA12-Saturday-12,20061476-JAN12-JANSA12-Saturday-12,"Kanata",2568024
118-125,JAN12-JANSA12-Saturday-12,20061477-JAN12-JANSA12-Saturday-12,"Kanata",2568041
118-125,JAN12-JANSA12-Saturday-12,20061478-JAN12-JANSA12-Saturday-12,"Kanata",2568018
118-125,JAN12-JANSA12-Saturday-12,20061479-JAN12-JANSA12-Saturday-12,"Hurdman",2568309
118-125,JAN12-JANSA12-Saturday-12,20061480-JAN12-JANSA12-Saturday-12,"Hurdman",2568075
118-125,JAN12-JANSA12-Saturday-12,20061481-JAN12-JANSA12-Saturday-12,"Hurdman",2568075
118-125,JAN12-JANSA12-Saturday-12,20061482-JAN12-JANSA12-Saturday-12,"Hurdman",2568194
118-125,JAN12-JANSA12-Saturday-12,20061483-JAN12-JANSA12-Saturday-12,"Hurdman",2568194
118-125,JAN12-JANSA12-Saturday-12,20061484-JAN12-JANSA12-Saturday-12,"Hurdman",2568194
118-125,JAN12-JANSA12-Saturday-12,20061485-JAN12-JANSA12-Saturday-12,"Hurdman",2568284
118-125,JAN12-JANSA12-Saturday-12,20061486-JAN12-JANSA12-Saturday-12,"Hurdman",2568242
118-125,JAN12-JANSA12-Saturday-12,20061487-JAN12-JANSA12-Saturday-12,"Kanata",2568075
118-125,JAN12-JANSA12-Saturday-12,20061488-JAN12-JANSA12-Saturday-12,"Kanata",2568075
118-125,JAN12-JANSA12-Saturday-12,20061489-JAN12-JANSA12-Saturday-12,"Kanata",2568075
118-125,JAN12-JANSA12-Saturday-12,20061490-JAN12-JANSA12-Saturday-12,"Kanata",2568194
118-125,JAN12-JANSA12-Saturday-12,20061491-JAN12-JANSA12-Saturday-12,"Kanata",2568194
118-125,JAN12-JANSA12-Saturday-12,20061492-JAN12-JANSA12-Saturday-12,"Kanata",2568194
118-125,JAN12-JANSA12-Saturday-12,20061493-JAN12-JANSA12-Saturday-12,"Kanata",2568242
118-125,JAN12-JANSA12-Saturday-12,20061494-JAN12-JANSA12-Saturday-12,"Kanata",2568122
118-125,JAN12-JANSA12-Saturday-12,20061495-JAN12-JANSA12-Saturday-12,"Hurdman",2568285
118-125,JAN12-JANSA12-Saturday-12,20061496-JAN12-JANSA12-Saturday-12,"Hurdman",2568242
118-125,JAN12-JANSA12-Saturday-12,20061497-JAN12-JANSA12-Saturday-12,"Hurdman",2568075
118-125,JAN12-JANSA12-Saturday-12,20061498-JAN12-JANSA12-Saturday-12,"Kanata",2568242
118-125,JAN12-JANSA12-Saturday-12,20061499-JAN12-JANSA12-Saturday-12,"Kanata",2568282
118-125,JAN12-JANSA12-Saturday-12,20061500-JAN12-JANSA12-Saturday-12,"Kanata",2568285
118-125,JAN12-JANSA12-Saturday-12,20061501-JAN12-JANSA12-Saturday-12,"Hurdman",2568163
118-125,JAN12-JANSA12-Saturday-12,20061502-JAN12-JANSA12-Saturday-12,"Hurdman",2568163
118-125,JAN12-JANSA12-Saturday-12,20061503-JAN12-JANSA12-Saturday-12,"Hurdman",2568163
118-125,JAN12-JANSA12-Saturday-12,20061504-JAN12-JANSA12-Saturday-12,"Hurdman",2568041
118-125,JAN12-JANSA12-Saturday-12,20061505-JAN12-JANSA12-Saturday-12,"Hurdman",2568309
118-125,JAN12-JANSA12-Saturday-12,20061506-JAN12-JANSA12-Saturday-12,"Hurdman",2568131
118-125,JAN12-JANSA12-Saturday-12,20061507-JAN12-JANSA12-Saturday-12,"Kanata",2568024
118-125,JAN12-JANSA12-Saturday-12,20061508-JAN12-JANSA12-Saturday-12,"Kanata",2568163
118-125,JAN12-JANSA12-Saturday-12,20061509-JAN12-JANSA12-Saturday-12,"Kanata",2568163
118-125,JAN12-JANSA12-Saturday-12,20061510-JAN12-JANSA12-Saturday-12,"Kanata",2568122
118-125,JAN12-JANSA12-Saturday-12,20061511-JAN12-JANSA12-Saturday-12,"Kanata",2568131
124-125,JAN12-JANSA12-Saturday-12,20061512-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568074
124-125,JAN12-JANSA12-Saturday-12,20061513-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568074
124-125,JAN12-JANSA12-Saturday-12,20061514-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568081
124-125,JAN12-JANSA12-Saturday-12,20061515-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568106
124-125,JAN12-JANSA12-Saturday-12,20061516-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568074
124-125,JAN12-JANSA12-Saturday-12,20061517-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568106
124-125,JAN12-JANSA12-Saturday-12,20061518-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568106
124-125,JAN12-JANSA12-Saturday-12,20061519-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568081
124-125,JAN12-JANSA12-Saturday-12,20061520-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568081
124-125,JAN12-JANSA12-Saturday-12,20061521-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568081
124-125,JAN12-JANSA12-Saturday-12,20061522-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568081
124-125,JAN12-JANSA12-Saturday-12,20061523-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568074
124-125,JAN12-JANSA12-Saturday-12,20061524-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568074
124-125,JAN12-JANSA12-Saturday-12,20061525-JAN12-JANSA12-Saturday-12,"Beacon Hill",2568074
124-125,JAN12-JANSA12-Saturday-12,20061526-JAN12-JANSA12-Saturday-12,"Hurdman",2568074
